,goldDiff - TOP,goldDiff - JG,goldDiff - MID,goldDiff - ADC,goldDiff - SUPP,item0 - TOPB,item0 - SUPPR,item0 - MIDB,item0 - ADCB,item0 - SUPPB,item0 - TOPR,item0 - MIDR,item0 - ADCR,item1 - MIDB,level - TOPB,level - SUPPR,level - JGB,level - MIDB,level - ADCB,level - SUPPB,level - TOPR,level - JGR,level - MIDR,level - ADCR,minute,positionX - TOPB,positionX - SUPPR,positionX - JGB,positionX - MIDB,positionX - ADCB,positionX - SUPPB,positionX - TOPR,positionX - JGR,positionX - MIDR,positionX - ADCR,positionY - TOPB,positionY - SUPPR,positionY - JGB,positionY - MIDB,positionY - ADCB,positionY - SUPPB,positionY - TOPR,positionY - JGR,positionY - MIDR,positionY - ADCR,wardsKilled - MIDB,xpDiff - TOP,xpDiff - JG,xpDiff - MID,xpDiff - ADC,xpDiff - SUPP,wardsPlaced - MIDB
3843,-5910,-820,1248,-821,-782,3363,3364,3363,3363,3364,3363,3364,3363,0,17,14,14,18,17,14,18,15,18,18,43,3689,2403,1058,1576,2651,2612,1527,3025,4954,2275,1589,7307,7995,6910,4704,4807,7613,5393,1367,7419,False,-3800,-2533,1952,-418,-883,False
3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,560,14237,560,351,221,311,14486,14486,14277,14147,581,14579,361,293,471,649,14511,14291,14223,14401,False,0,0,0,0,0,False
3845,0,0,0,0,0,3340,3340,3340,3340,3364,3340,3340,3340,0,1,1,1,1,1,1,1,1,1,1,2,4177,11518,4539,3525,1288,1584,9851,11890,8140,11295,11573,5644,11588,9616,684,664,9531,13231,7973,5595,False,0,0,0,0,0,True
3846,454,-134,-175,-439,-58,3340,3364,3340,3340,3364,3340,3340,2055,0,10,7,8,10,8,7,10,8,10,9,15,4275,8071,3373,6700,602,1430,4521,6826,8020,13319,10086,6259,6844,7108,514,1112,14049,9832,7142,4290,False,193,454,-297,-753,179,False
3847,21,20,-49,-21,10,3340,3340,3340,3340,3364,3340,3340,3340,0,1,1,2,1,1,1,1,2,2,1,3,2216,12914,7993,6420,11614,12509,2547,8463,7469,12823,12547,1782,2353,6315,1898,1512,13091,5644,6831,2671,False,0,30,-120,15,15,True
3848,193,159,-172,-130,-71,3340,3340,3340,3340,3364,3340,3340,3340,0,3,2,3,3,2,2,2,2,3,2,4,2929,10849,713,6681,10765,11107,3733,11777,7422,11695,12768,3468,821,7089,1448,1304,13866,7396,6992,2903,False,333,218,-191,-136,-136,False
3849,126,-44,-116,-42,-11,3340,3340,3340,3340,3364,3340,3340,3340,0,4,3,3,4,3,3,4,3,4,3,5,3363,13740,3334,6640,13537,13446,3988,6106,7009,13946,13076,3936,8237,6641,3433,3239,13464,12597,7776,4380,True,180,-93,-30,-3,-3,False
3850,77,88,-116,-42,-11,3340,3340,3340,3340,2055,3340,3340,3340,0,5,4,4,5,4,4,5,4,5,3,6,3381,12075,7687,6474,4583,7259,3586,9037,7397,13331,12916,11060,4155,6739,2715,4925,13191,5994,7081,4308,False,29,75,-30,22,-68,False
3851,91,-36,-168,-154,76,3340,3340,3340,3340,3340,3340,3340,3340,2055,5,4,4,6,4,4,5,4,6,5,7,1401,11813,8365,1735,11152,11011,3178,10100,14090,12822,7977,3752,2505,2081,1359,1153,13220,8374,14281,3348,False,209,-61,-245,-151,132,False
3852,119,-36,-187,-84,55,3340,3340,3340,3340,3340,3340,3340,3340,0,6,4,5,6,5,5,6,5,6,5,8,1924,13079,5887,6303,12600,11817,2468,7677,7921,13248,12510,4194,5237,6947,2776,2743,12800,10943,6973,3841,False,208,-72,-214,138,151,False
3853,281,49,-236,-84,-14,3340,3340,3340,3340,3340,3340,3340,3340,0,7,5,5,7,6,5,7,5,7,6,9,2983,13300,6372,6827,856,3870,4095,8309,8062,13625,12324,12536,4919,7175,575,3729,13870,5781,7551,4328,False,238,100,-225,116,39,False
3854,479,217,-329,-303,-101,3340,3340,3340,3340,3340,3340,3340,3340,0,8,5,6,7,6,5,7,5,8,6,10,4933,10374,4168,6030,8808,840,14340,10597,7503,11185,13631,2389,13583,7478,905,519,14391,2241,7004,1770,False,662,368,-462,-223,-244,False
3855,892,733,-209,-314,-176,3340,2055,3340,3340,3340,3340,3340,3340,2055,8,6,6,8,6,5,8,6,8,6,11,1206,14025,2794,1243,11439,12106,5562,11122,10313,12249,5890,13560,1412,1877,1535,1231,13761,6909,6602,5011,False,188,651,-221,-77,-282,False
3856,902,629,-978,-324,-217,3340,3364,3340,3340,3340,3340,3340,3340,2055,9,6,7,8,7,6,9,6,9,7,12,11112,13423,10326,5795,11060,11573,6972,11975,8611,12723,2044,2641,1756,6110,1602,3385,7305,3623,5331,3198,False,412,532,-1127,-200,-271,False
3857,502,-204,-207,-1142,-213,3340,3364,2055,3340,3364,3340,3340,3363,3364,11,7,9,10,8,7,11,8,11,9,16,2492,8605,5387,2509,6846,7232,14340,8851,7957,8329,13430,6621,10365,809,7027,6995,14391,6155,1135,7848,False,309,434,-350,-1236,-122,True
3858,568,735,-936,-139,-208,3340,3364,3340,3340,3364,3340,3340,3340,2055,9,6,7,9,8,6,9,6,10,7,13,10065,12381,8775,7340,12331,9904,4632,12155,8655,13598,6738,6130,6590,7162,3286,6570,13546,7433,7714,4165,False,-281,776,-1101,216,-346,False
3859,540,745,-866,-217,-267,3340,3364,3340,3340,3364,3340,3340,3340,2055,9,6,8,9,8,6,10,7,10,8,14,3167,10867,9482,7359,11902,8858,5655,9818,10222,13185,11819,6924,5776,7684,2699,5456,13362,7100,10045,4858,False,-342,867,-870,94,-430,True
3860,629,1172,-379,-183,-328,3340,3364,3340,3340,3364,3340,3340,3340,0,10,7,8,10,9,6,10,7,10,9,15,9776,12993,3954,8005,13421,10334,7506,13191,8487,12564,5356,3642,1635,7495,2631,5421,9668,12472,6806,5850,False,-364,1404,-288,81,-593,False
3861,327,1321,-386,-540,-421,3340,3364,3340,3363,3364,3340,3340,3340,2055,10,7,9,10,9,7,11,7,11,10,16,7318,11162,2426,1586,7389,7004,13401,11528,9017,9284,1176,1927,9203,10873,7772,8002,13773,6717,7428,1564,False,-983,1881,-248,-265,-247,True
3862,372,1271,-436,-467,-483,3340,3364,3340,3363,3364,3340,3340,3363,0,11,7,9,11,10,7,11,7,11,10,17,8587,8216,6688,6106,6717,7317,6510,8296,8978,8084,4987,7467,8257,8608,7220,6672,13503,5057,5775,7680,False,-788,2000,-158,-58,116,False
3863,151,1130,-642,-1183,-750,3340,3364,3340,3363,3364,3340,3340,3363,0,11,8,10,12,10,7,12,8,12,10,18,1662,6297,4075,1790,4309,3853,4047,8357,2634,7627,823,6048,11631,12336,7080,3726,13033,5345,11514,5159,False,-1151,1896,-125,-788,-403,False
